index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
569,[2784759],[5618966],0.007372673412978893,0.004177656719591314,0.00011492865803552445,0.015588464536243182,3.7313895282827714,8.412815941044095e-05,1.0115915015271293
568,[5618966],[2784759],0.004177656719591314,0.007372673412978893,0.00011492865803552445,0.027510316368638238,3.731389528282771,8.412815941044095e-05,1.020707307537149
1226,"[3524026, 3898011]",[803921],0.005533814884410502,0.024192482516477896,0.0004941932295527551,0.0893042575285566,3.6914052730111515,0.0003603165097122289,1.071496738126148
1227,[803921],"[3524026, 3898011]",0.024192482516477896,0.005533814884410502,0.0004941932295527551,0.020427553444180523,3.6914052730111515,0.0003603165097122289,1.0152043257363317
1313,[2784759],"[3524026, 3978011]",0.007372673412978893,0.007527827101326851,0.0002011251515621678,0.027279812938425567,3.623862845311264,0.00014562494083471335,1.0203059277475943
1308,"[3524026, 3978011]",[2784759],0.007527827101326851,0.007372673412978893,0.0002011251515621678,0.026717557251908396,3.6238628453112636,0.00014562494083471335,1.0198759198658804
122,[3998011],[493803],0.018170220835416414,0.0041029530918682226,0.0002643359134817062,0.014547754585705251,3.545678992659683,0.00018978434972510605,1.0105989930434893
123,[493803],[3998011],0.0041029530918682226,0.018170220835416414,0.0002643359134817062,0.06442577030812326,3.545678992659683,0.00018978434972510605,1.049440811861546
1302,"[3524026, 3898011]",[2784759],0.005533814884410502,0.007372673412978893,0.00014366082254440557,0.025960539979231572,3.521184043434028,0.0001028618126737654,1.0190832787881676
1307,[2784759],"[3524026, 3898011]",0.007372673412978893,0.005533814884410502,0.00014366082254440557,0.019485580670303978,3.521184043434028,0.0001028618126737654,1.014229026632195
929,[3968356],[3908011],0.007246251889139817,0.005482096988294516,0.00013791438964262933,0.0190325138778747,3.4717579638801186,9.81897339847525e-05,1.0138133190766052
928,[3908011],[3968356],0.005482096988294516,0.007246251889139817,0.00013791438964262933,0.025157232704402514,3.4717579638801186,9.81897339847525e-05,1.0183731996750114
1512,[803921],"[2726578, 3998011, 3908011]",0.024192482516477896,0.001654972675711552,0.00013791438964262933,0.005700712589073634,3.4445961995249403,9.787649212022896e-05,1.0040689357465968
1505,"[2726578, 3998011, 3908011]",[803921],0.001654972675711552,0.024192482516477896,0.00013791438964262933,0.08333333333333333,3.4445961995249403,9.787649212022896e-05,1.064517291800206
733,[9402188],[3582465],0.016440544531981773,0.008711592279092753,0.00048270036374920266,0.029360363509262494,3.3702637323518263,0.00033947704294030965,1.021273364958414
732,[3582465],[9402188],0.008711592279092753,0.016440544531981773,0.00048270036374920266,0.055408970976253295,3.3702637323518263,0.00033947704294030965,1.0412542838613936
561,[2784759],[3582465],0.007372673412978893,0.008711592279092753,0.00021261801736572022,0.028838659392049885,3.310377536981473,0.00014839029258494087,1.0207247408554767
560,[3582465],[2784759],0.008711592279092753,0.007372673412978893,0.00021261801736572022,0.024406332453825858,3.310377536981473,0.00014839029258494087,1.0174597884421392
776,[3988011],[3690654],0.006976169542756334,0.012027284063417633,0.00027582877928525865,0.039538714991762765,3.2874184049601283,0.0001919244065199659,1.0286439769699922
777,[3690654],[3988011],0.012027284063417633,0.006976169542756334,0.00027582877928525865,0.022933588150979452,3.287418404960128,0.0001919244065199659,1.016331969265042
1327,"[3978011, 3161221]",[3524026],0.0006895719482131467,0.05325219370076025,0.00012067509093730066,0.175,3.286249595338297,8.395387198044355e-05,1.1475730985445332
1328,[3524026],"[3978011, 3161221]",0.05325219370076025,0.0006895719482131467,0.00012067509093730066,0.0022661055357720947,3.286249595338297,8.395387198044355e-05,1.001580114293306
1314,"[3978011, 3898011]",[2784759],0.006280851161641411,0.007372673412978893,0.0001494072554461818,0.023787740164684358,3.226474147465734,0.00010310059107587055,1.0168150590061988
1319,[2784759],"[3978011, 3898011]",0.007372673412978893,0.006280851161641411,0.0001494072554461818,0.020265003897116135,3.226474147465734,0.00010310059107587055,1.01427340330916
544,[2726578],[3988011],0.018262163761844835,0.006976169542756334,0.0004079967360261118,0.0223410950283197,3.2024873953239066,0.00028059678540590143,1.015716039006476
545,[3988011],[2726578],0.006976169542756334,0.018262163761844835,0.0004079967360261118,0.05848434925864909,3.202487395323906,0.00028059678540590143,1.0427206764594228
1221,[803921],"[2726578, 3998011]",0.024192482516477896,0.0032352417237000134,0.00024709661477637757,0.010213776722090262,3.1570366588896435,0.00016882808593918517,1.007050547718556
1220,"[2726578, 3998011]",[803921],0.0032352417237000134,0.024192482516477896,0.00024709661477637757,0.0763765541740675,3.1570366588896435,0.00016882808593918517,1.0564992929677366
672,[3524026],[3978011],0.05325219370076025,0.045310623430505514,0.007527827101326851,0.1413618215172116,3.119838369340099,0.005114937005703366,1.1118645786941694
673,[3978011],[3524026],0.045310623430505514,0.05325219370076025,0.007527827101326851,0.16613823715916295,3.119838369340099,0.005114937005703366,1.1353774072501148
1208,"[2726578, 3908011]",[803921],0.0020112515156216777,0.024192482516477896,0.0001494072554461818,0.07428571428571429,3.0706114692908044,0.00010075008831826468,1.0541130590099776
1209,[803921],"[2726578, 3908011]",0.024192482516477896,0.0020112515156216777,0.0001494072554461818,0.006175771971496437,3.0706114692908044,0.00010075008831826468,1.0041903994070824
1139,[264715],"[3524026, 3978011]",0.014716614661448905,0.007527827101326851,0.00033903954120479714,0.023037875829754004,3.0603619769233754,0.000228255410516558,1.0158757932827747
1134,"[3524026, 3978011]",[264715],0.007527827101326851,0.014716614661448905,0.00033903954120479714,0.0450381679389313,3.060361976923375,0.000228255410516558,1.031751586565549
1472,[264715],"[3524026, 3978011, 3898011]",0.014716614661448905,0.004194896018296642,0.0001838858528568391,0.012495119094103866,2.9786481094178754,0.0001221511846107211,1.0084052476461616
1461,"[3524026, 3978011, 3898011]",[264715],0.004194896018296642,0.014716614661448905,0.0001838858528568391,0.043835616438356165,2.978648109417875,0.0001221511846107211,1.0304539703397455
905,[3898011],[3998011],0.018187460134121744,0.018170220835416414,0.0009654007274984053,0.05308056872037915,2.9212946392438646,0.000634930560426081,1.0368672843029385
904,[3998011],[3898011],0.018170220835416414,0.018187460134121744,0.0009654007274984053,0.05313092979127135,2.9212946392438646,0.000634930560426081,1.0369042254695748
1346,[3968011],"[3524026, 3898011]",0.015814183345688165,0.005533814884410502,0.0002528430476781538,0.015988372093023256,2.8892133956386297,0.00016533028449498794,1.0106244244601559
1343,"[3524026, 3898011]",[3968011],0.005533814884410502,0.015814183345688165,0.0002528430476781538,0.04569055036344756,2.8892133956386292,0.00016533028449498794,1.0313067915539742
191,[3898011],[803921],0.018187460134121744,0.024192482516477896,0.0012584688054889928,0.06919431279620854,2.8601576026387185,0.0008184689941751137,1.0483471801885091
190,[803921],[3898011],0.024192482516477896,0.018187460134121744,0.0012584688054889928,0.05201900237529691,2.8601576026387185,0.0008184689941751137,1.0356879962002874
1245,[803921],"[3968011, 3898011]",0.024192482516477896,0.003585774130708363,0.00024709661477637757,0.010213776722090262,2.848416088068701,0.00016034783681117678,1.0066963981064838
1244,"[3968011, 3898011]",[803921],0.003585774130708363,0.024192482516477896,0.00024709661477637757,0.06891025641025642,2.848416088068701,0.00016034783681117678,1.0480273509633697
1333,[3582465],"[3524026, 3978011]",0.008711592279092753,0.007527827101326851,0.0001838858528568391,0.021108179419525065,2.804020221958146,0.00011830649240257493,1.0138731901040354
1332,"[3524026, 3978011]",[3582465],0.007527827101326851,0.008711592279092753,0.0001838858528568391,0.024427480916030534,2.804020221958146,0.00011830649240257493,1.0161094007154838
18,[348498],[264715],0.009073617551904655,0.014716614661448905,0.00037351813861545444,0.04116529449018366,2.797198638217982,0.00023998520551871428,1.027584191182016
19,[264715],[348498],0.014716614661448905,0.009073617551904655,0.00037351813861545444,0.025380710659898477,2.797198638217982,0.00023998520551871428,1.0167317569910146
1431,"[3978011, 3898011]",[3968356],0.006280851161641411,0.007246251889139817,0.0001264215238390769,0.020128087831655993,2.777724006782401,8.09088942436268e-05,1.0131464488190198
1434,[3968356],"[3978011, 3898011]",0.007246251889139817,0.006280851161641411,0.0001264215238390769,0.017446471054718478,2.777724006782401,8.09088942436268e-05,1.0113638794876272
953,[3968356],[3998011],0.007246251889139817,0.018170220835416414,0.000362025272811902,0.04996034892942109,2.7495730174088515,0.00023035927575717815,1.0334618960989481
